scenario,controller,ablation,metric,environment_units,excluded_environment_units,exclusions,mean_change,paired_ci95_low,paired_ci95_high,status
B_food,feedforward-303,chemical_off,collision_substeps,30,0,[],0.0,0.0,0.0,completed
B_food,feedforward-303,chemical_off,motor_energy_demand,30,0,[],8.96969725427524e-05,8.568829825933365e-05,9.351474343212284e-05,completed
B_food,feedforward-303,chemical_off,escape_drive_integral,30,0,[],-0.005042899140467244,-0.005259199119918044,-0.004823300598344452,completed
B_danger,feedforward-101,chemical_off,food,30,0,[],-0.06666666666666678,-0.20000000000000023,0.0666666666666666,completed
B_danger,feedforward-101,chemical_off,collision_substeps,30,0,[],0.0,0.0,0.0,completed
B_danger,feedforward-101,chemical_off,motor_energy_demand,30,0,[],0.0027404166290345027,0.002056298611627997,0.003338768327475016,completed
B_danger,feedforward-101,chemical_off,escape_drive_integral,30,0,[],0.033858590995892876,0.00762160095387759,0.061672699241619555,completed
B_danger,feedforward-202,chemical_off,food,30,0,[],-0.03814837834735715,-0.10963009002804763,0.0,completed
B_danger,feedforward-202,chemical_off,collision_substeps,30,0,[],0.0,0.0,0.0,completed
B_danger,feedforward-202,chemical_off,motor_energy_demand,30,0,[],-0.00042915089250169673,-0.0008476062310980013,0.00030912469608584964,completed
B_danger,feedforward-202,chemical_off,escape_drive_integral,30,0,[],-0.015660148636748396,-0.027208080623174705,0.004374061205858974,completed
B_danger,feedforward-303,chemical_off,food,30,0,[],0.0,0.0,0.0,completed
B_danger,feedforward-303,chemical_off,collision_substeps,30,0,[],0.0,0.0,0.0,completed
B_danger,feedforward-303,chemical_off,motor_energy_demand,30,0,[],8.05974754088871e-05,7.798799863606716e-05,8.32977992558077e-05,completed
B_danger,feedforward-303,chemical_off,escape_drive_integral,30,0,[],-0.004098808585976562,-0.00427821046113968,-0.003921634816580145,completed
C_occlusion,feedforward-101,chemical_off,food,30,0,[],0.0,0.0,0.0,completed
C_occlusion,feedforward-101,chemical_off,collision_substeps,30,0,[],0.0,0.0,0.0,completed
