controller,ablation,scenario,environment_seed,neural_repeat,status,completed_windows,simulation_seconds,wall_seconds,food,collision_substeps,motor_energy_demand,final_simulated_energy,escape_drive_integral,inference_mean_ms,reaction_seconds,recovery_seconds,reaction_status,recovery_status,baseline_escape_drive,preactivated,sampled_peak_process_rss_bytes,rss_sampling,reflex_interventions,physical_energy_debit,physical_energy_debit_status
connectome,none,A_static,90026,0,completed,100,2.0,6.821502667007735,0.0,0,0.015034678394696617,0.8349653216053047,0.8069128905061974,67.48878628903185,0.16,,responded,not_applicable,0.12480544403126341,False,449429504,before episode and after each completed action window; transient allocations may be missed,0,0.0,not_applicable
connectome,none,A_static,90027,0,completed,100,2.0,7.515030999988085,0.0,0,0.016333896100384996,0.8336661038996146,0.8905389768689949,74.15188501938246,0.34,,responded,not_applicable,0.0,False,450117632,before episode and after each completed action window; transient allocations may be missed,0,0.0,not_applicable
connectome,none,A_static,90028,0,completed,100,2.0,8.180183417003718,0.0,0,0.014746799274764459,0.8352532007252343,0.787929181401927,80.93525788965053,0.6,,responded,not_applicable,0.0,False,450215936,before episode and after each completed action window; transient allocations may be missed,0,0.0,not_applicable
connectome,none,A_static,90029,0,completed,100,2.0,8.555170209001517,0.0,0,0.0100939665209779,0.8399060334790219,0.4763467725980186,84.60918420023518,0.16,,responded,not_applicable,0.4703981954062824,False,450068480,before episode and after each completed action window; transient allocations may be missed,0,0.0,not_applicable
connectome,none,A_static,90030,0,completed,100,2.0,10.884064291996765,0.0,0,0.020833043608207032,0.8291669563917935,1.1828404139506783,107.5207491904439,0.04,,responded,not_applicable,0.0,False,449986560,before episode and after each completed action window; transient allocations may be missed,0,0.0,not_applicable
connectome,none,A_translation,90001,0,completed,100,2.0,13.508009832992684,0.0,0,0.013484853741940984,0.836515146258059,0.7120730367836928,132.2321299801115,0.9400000000000001,,responded,not_applicable,0.0,False,443285504,before episode and after each completed action window; transient allocations may be missed,0,0.0,not_applicable
connectome,none,A_translation,90002,0,completed,100,2.0,9.318706874997588,0.0,0,0.012651448654450444,0.8373485513455486,0.6513197727100863,92.19098630943336,0.66,,responded,not_applicable,0.0,False,443187200,before episode and after each completed action window; transient allocations may be missed,0,0.0,not_applicable
connectome,none,A_translation,90003,0,completed,100,2.0,7.467317667003954,0.0,0,0.025733844634544353,0.8242661553654546,1.5149591388709758,73.92693169051199,,,no_response,not_applicable,0.8360110608863073,True,443400192,before episode and after each completed action window; transient allocations may be missed,0,0.0,not_applicable
connectome,none,A_translation,90004,0,completed,100,2.0,6.050430415998562,0.0,0,0.015799411162390666,0.8342005888376095,0.8687557710269234,59.864708320674254,0.24,,responded,not_applicable,0.0,False,443432960,before episode and after each completed action window; transient allocations may be missed,0,0.0,not_applicable
connectome,none,A_translation,90005,0,completed,100,2.0,5.7280400000017835,0.0,0,0.013714542912648132,0.8362854570873529,0.7202620312002626,56.67335665973951,0.0,,responded,not_applicable,0.03686653615476586,False,443498496,before episode and after each completed action window; transient allocations may be missed,0,0.0,not_applicable
